"area","day","SO2","CO","O3","NO2","PM10","PM2.5"
"경북","20161109",0.0036201357799587,0.446937245567741,0.0249809377573487,0.0161165095625665,51.6728763243634,27.7718645801999
"경북","20161110",0.0042538745945009,0.48912037037037,0.0178028038195627,0.0165854166666667,36.5520943787905,25.341121043651
"경북","20161111",0.00399166666666667,0.522222222222222,0.0221129501673098,0.016407355039374,50.580673216059,26.8641814673356
"경북","20161112",0.00432546296296296,0.611111111111111,0.0206476820988915,0.0187928240740741,67.9077968916956,31.0261558440415
"경북","20161113",0.00461805555555556,0.66412037037037,0.0202819413581508,0.0182340277777778,65.2268518518518,32.2599646724041
"경북","20161114",0.0046715805961366,0.647829737010542,0.0171591202419324,0.0198792461038289,55.6694151475984,31.3897446868284
"경북","20161115",0.00423407748720641,0.483655871467172,0.0277955195475353,0.0155909841120083,53.5907556257234,25.6837888286409
"경북","20161116",0.00440196059749968,0.503120376601491,0.0216727275593954,0.0193930826246844,50.0683643552373,25.2208133336118
"경북","20161117",0.00490358252233514,0.636255662936468,0.0227630635933303,0.0224623479556807,76.8476558883391,32.5101150571987
"경북","20161118",0.00448841815360046,0.682095683166426,0.0207052029323194,0.0209399415602295,71.2238243412037,35.5841139388755
"경북","20161119",0.00394859245753,0.626299399332372,0.0207442052472288,0.0173484236483255,40.3130662116031,28.1657089324402
"경북","20161120",0.00378377764271519,0.629077177110149,0.0273645756175992,0.0140002755001773,38.8204222312501,25.3321500219149
"경북","20161121",0.00420571090170183,0.634646106458955,0.0184364708078916,0.0174462034500156,44.43849987772,25.7926728494008
"경북","20161122",0.00385472127616144,0.512417197340108,0.0217678388633526,0.0157098135491705,38.3123314248554,24.1097398186993
"경북","20161123",0.003763354453986,0.387993837545695,0.0201478568673628,0.0167117751968701,34.0306367132813,21.3595393056398
"경북","20161124",0.00387713459722706,0.350970174301908,0.0267035677726705,0.0131340599066875,27.5256396902779,20.0541341348789
"경북","20161125",0.00433112726416634,0.461782934965288,0.0245299566615594,0.0169773469437246,35.847766342911,23.1721144980371
"경북","20161126",0.00423825037173345,0.576691366332852,0.0133932854938902,0.0222243055555556,57.2420638300059,33.5910458512537
"경북","20161127",0.00347621178023132,0.520209884851371,0.0206226657664662,0.0140113425925926,49.9985966992478,31.8944620409215
"경북","20161128",0.00403239963508195,0.595156389678371,0.0226827926954943,0.0166231853368388,72.5985011296586,32.8688612252301
"경북","20161129",0.00456387023530778,0.511324098998557,0.021529626543336,0.0190337930067397,36.1206354613427,22.9712143597309
"경북","20161130",0.0046149670520309,0.596462475907368,0.0146381218494874,0.0214670739720396,39.4600900887154,25.5360041104132
"경북","20161201",0.0038349334956575,0.509690354834937,0.0300735788967389,0.0139207827355242,49.3968332110534,27.3597022225006
"경북","20161202",0.00372730704248935,0.462225837238376,0.0254118525592063,0.0151514632662702,31.2590685932003,21.0333008015455
"경북","20161203",0.00434583333333333,0.609561736703223,0.0156134259259259,0.0241092592592593,47.0062096576968,26.6119293128519
"경북","20161204",0.00486944444444444,0.702617292258778,0.0160740740740741,0.0215023148148148,49.4664904124711,29.6997794872189
"경북","20161205",0.00506845792783424,0.723628611900593,0.0272591912937427,0.0199001318051956,78.7570107171875,36.9243917166532
"경북","20161206",0.00366081593001516,0.434984578286436,0.0273031921939432,0.0137601801254043,32.4148296997975,21.2391814673356
"경북","20161207",0.00454773644907891,0.606227379409732,0.0157521303369841,0.0237716494634116,45.850036975897,26.2392315956005
"경북","20161208",0.00490740585294231,0.750738692820427,0.0162730996013506,0.0262935607669901,69.110787899566,35.2622794872189
"경북","20161209",0.00435717592592593,0.643820995962482,0.0255277777777778,0.0172331018518519,51.1184671307581,28.9984657907273
"경북","20161210",0.00373900385239708,0.52784877374026,0.0230277777777778,0.0158729166666667,32.1598105858797,22.5586384438463
"경북","20161211",0.00450815933360595,0.610950625592112,0.0185324074074074,0.0205798611111111,37.1937538395255,24.0424723363412
"경북","20161212",0.00505595792783424,0.710209372871292,0.0143101075103091,0.022957539212603,46.3935847912616,27.1166466669451
"경북","20161213",0.00520762489870306,0.769103412716571,0.0156200111240684,0.0244474182852373,52.835824875463,30.0634811186017
"경북","20161214",0.00418938757109465,0.655194463137807,0.0180735497686604,0.0189948990580699,51.1283809652779,28.2699633235704
"경북","20161215",0.00377545674510259,0.43809414099507,0.0249836409465441,0.0128266051910276,37.7891170039642,24.2001053209407
"경북","20161216",0.00459426422685669,0.430217083728074,0.02609706687247,0.0133057245494418,30.5286892918403,21.1724027355602
"경북","20161217",0.00505023148148148,0.581481481481481,0.0250184796810805,0.0168347222222222,40.1922400842014,24.9173595477452
"경북","20161218",0.00425399266693928,0.622685185185185,0.0235717592592593,0.0158509259259259,41.8674312233797,26.0169717771796
"경북","20161219",0.00474322489188766,0.727704221914903,0.0114443376414898,0.0232677666462598,44.9422842660302,27.7461008476476
"경북","20161220",0.00446729741149664,0.707770066920996,0.0158609363426399,0.0188828551910276,50.7732365118056,28.8804352993042
"경북","20161221",0.00417441741013356,0.72169239029301,0.0124672624743691,0.0184935083989567,40.4032777166378,24.5563361610977
"경북","20161222",0.00366238348202671,0.634715535325597,0.0251319347350849,0.0115902777777778,19.8855381666957,20.8691745268857
"경북","20161223",0.00326591318600303,0.440952161532347,0.0294513597608103,0.0077081914085759,28.2871254006945,21.4916216028126
"경북","20161224",0.00378865740740741,0.604854424214486,0.020087962962963,0.0135081018518519,51.4302323440104,29.3062860328328
"경북","20161225",0.00409837962962963,0.725462962962963,0.0151226851851852,0.0162467592592593,50.7774545662327,30.2368165242559
